edge,distance
AB,3.00
AC,7.90
AD,9.70
AE,8.40
AF,8.10
AG,6.00
AH,2.10
AI,4.40
BA,3.00
BC,7.10
BD,8.90
BE,7.50
BF,7.20
BG,5.20
BH,3.90
BI,7.20
CA,7.90
CB,7.10
CD,2.50
CE,0.70
CF,1.60
CG,2.40
CH,5.90
CI,7.80
DA,9.70
DB,8.90
DC,2.50
DE,2.30
DF,2.30
DG,4.20
DH,6.30
DI,8.20
EA,8.40
EB,7.50
EC,0.70
ED,2.30
EF,1.60
EG,2.70
EH,5.70
EI,7.70
FA,8.10
FB,7.20
FC,1.60
FD,2.30
FE,1.60
FG,2.60
FH,4.10
FI,6.10
GA,6.00
GB,5.20
GC,2.40
GD,4.20
GE,2.70
GF,2.60
GH,4.00
GI,6.00
HA,2.10
HB,3.90
HC,5.90
HD,6.30
HE,5.70
HF,4.10
HG,4.00
HI,3.60
IA,4.40
IB,7.20
IC,7.80
ID,8.20
IE,7.70
IF,6.10
IG,6.00
IH,3.60
